fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,11,GUJARAT,1107,KACHCHH,732040,223.392910333687,38,14,64.608661745,1413,131,2942,345414,24328,4704,623,162,213.1091,1049.348149045,9011,12011,38465,64681,101,86338,137994,4355,771.6303873,175109,79,24.05,49.15,99.94,NA
2024-2025,Dec,11,GUJARAT,1119,DANG,841281,284.99830403327,39,118,111.1521642,3467,0,5429,696358,1435,92,674408,57934,147.26894,2243.0295942,17444,26087,32538,59476,64,48046,86782,8896,1984.60849,319766,81,65.75,20.49,99.98,NA
2024-2025,Dec,11,GUJARAT,1127,Morbi,157912,202.537702875731,40,1,118.169695976,879,18,768,115588,11535,1187,267,17,50.95872,403.237695976,2863,4468,6253,12244,62,30944,65705,1647,234.10928,51631,56,50.72,7.44,100,NA
2024-2025,Dec,11,GUJARAT,1128,Botad,326975,236.728432795079,31,33,160.362886653,1221,0,1109,164854,6349,1761,111,41,59.72535,610.344527252999,5181,10007,20213,45936,5,53125,121019,2330,390.256290599999,72374,66,15.43,44.63,99.96,NA
2024-2025,Dec,11,GUJARAT,1129,Chhotaudepur,1342958,258.42743834738,39,188,140.4259715,6128,16,6384,673694,14790,2703,536460,109400,217.84466,2099.280778,16976,22294,65997,129097,117,219363,438567,12512,1741.0101465,253185,78,15.44,9.42,99.96,NA
2024-2025,Dec,11,GUJARAT,1130,ARVALLI,2354870,218.117232085727,49,569,1324.416551122,11317,19,4705,2409894,102332,7518,669404,50070,185.46433,6766.274970122,48526,73585,79240,160875,1366,149852,296985,16022,5256.394089,1161718,76,5.77,49.09,99.94,NA
2024-2025,Sep,11,GUJARAT,1102,RAJKOT,406286,220.169270445935,32,32,147.050178254,1046,11,1515,143855,19752,3040,575,124,70.70083,534.475512254,4371,7761,15032,38742,8,108431,299291,2561,316.724504,67851,59,20.58,51.73,99.54,NA
2024-2025,Sep,11,GUJARAT,1112,AHMADABAD,321342,210.248654198648,52,66,53.708897756,548,91,2771,316971,11014,3207,6837,670,76.63217,796.768329455997,6075,10490,16978,33289,14,79277,157984,3319,666.427261699997,133532,72,10.94,58.85,99.92,NA
2024-2025,Sep,11,GUJARAT,1115,VADODARA,160491,264.495955261243,37,9,15.4695226,1249,24,3382,162186,10892,2710,38959,8372,70.08908,514.5340126,4342,5648,18061,34062,37,126664,238839,4631,428.97541,67572,71,50.9,2.2,100.85,NA
2024-2025,Sep,11,GUJARAT,1117,SURAT,674997,271.767897500472,37,50,2050.82165531401,6919,11,10344,948219,8577,1672,869872,152159,114.4816,4742.25809531401,25326,34725,64362,161204,264,187814,405201,17263,2576.95484,439061,77,7.77,55.13,99.86,NA
2024-2025,Sep,11,GUJARAT,1123,DOHAD,6929173,260.295415730903,46,3643,11474.837542734,54076,72,67607,6190579,50951,6042,4031269,436034,290.79254,27879.423426934,133177,174101,315086,650128,1684,580003,1238404,121683,16113.7933442,2852117,51,76.84,12.78,99.59,NA
2024-2025,Sep,11,GUJARAT,1126,TAPI,925026,233.300433543692,25,269,360.179000476,3851,3,9553,563957,4640,1723,537752,202271,98.38002,1774.273146476,21975,29663,95432,212287,51,201787,413964,13404,1315.714126,304961,80,19.17,35.64,98.62,NA
2024-2025,Sep,11,GUJARAT,1132,DEVBHUMI DWARKA,167354,223.940238046539,30,21,14.4178536,639,57,2819,63559,4965,2865,1893,642,30.79239,187.5444195,2088,2996,14507,27468,0,48083,96960,3458,142.3341759,24462,78,44.74,23.21,99.73,NA
2024-2025,Sep,11,GUJARAT,1108,BANAS KANTHA,1253363,234.262084259111,40,426,805.386040027,3874,53,5494,1234098,322755,34106,147514,16758,238.06296,3934.472696627,30729,41423,76108,138460,220,179017,319989,9368,2891.0236966,707220,68,13.99,58.54,99.9,NA
2024-2025,Sep,11,GUJARAT,1112,AHMADABAD,321342,209.102502635653,52,66,53.708897756,523,93,2791,314912,10923,3205,6436,670,76.63217,788.829940855986,6037,10442,16950,33246,13,79249,157925,3314,658.488873099986,132675,72,11.13,59.17,99.68,NA
2024-2025,Sep,11,GUJARAT,1123,DOHAD,6929173,261.883844426402,46,3623,11474.837542734,53193,72,66083,6083243,49796,6030,3954555,435201,290.79254,27696.660716934,131820,172246,314622,648953,1600,579722,1237834,119276,15931.0306342,2802738,50,76.9,12.87,99.56,NA
